Flat_No,House_Name,House_No,Street,Locale,Town,Postcode,Parish,Consideration,Market_Value,Acquisition_Date,Registered_Date
,Land To The West Of Baldwin Reservoir,,West Baldwin,,Braddan,,Braddan,1210,,16/06/1900,22/05/2003
,Reservoir House,,West Baldwin,,Braddan,IM4 5EU,Braddan,1125,,13/07/1901,26/06/2003
,Ballacloan School,,Demesne Road,,Douglas,,Onchan,1149,1149,1/4/1905,7/2/2017
,Gretch Vane Waterworks,,Ballaragh Road,,Laxey,IM4 7HB,Lonan,147.65,,24/01/1912,15/01/2003
,Manx Museum,,Kingswood Grove,,Douglas,IM1 3LY,Onchan,0,,25/10/1921,12/9/2002
,Land At Enemona,,Begoade Road,,Onchan,,Onchan,2350,,12/11/1921,1/7/2003
,Land At Honey Hill,,Creg Ny Baa Back Road,,Onchan,,Onchan,2650,,4/5/1922,1/7/2003
,,34,Allan Street,,Douglas,IM1 3DH,Onchan,0,125000,31/10/1922,15/06/2015
,,8,Orry Street,,Douglas,IM1 1BW,Onchan,0,120000,31/10/1922,15/06/2015
,,56,Allan Street,,Douglas,IM1 3DN,Onchan,0,115000,31/10/1922,27/03/2015
,,2,Peveril Street,,Douglas,IM1 1BT,Onchan,0,115000,31/10/1922,17/10/2016
,,5,Orry Street,,Douglas,IM1 1BW,Onchan,0,140000,31/10/1922,13/02/2017
,,31,Allan Street,,Douglas,IM1 3DW,Onchan,0,140000,31/10/1922,17/08/2017
,Ballagawne Service Reservoir,,Ballagawne,,Ballabeg,IM9 4HL,Arbory,570,,11/5/1923,12/12/2001
,,,Access Road,Cringle Reservoir,Malew,,Malew,22,,11/7/1924,9/6/2003
,,58,Allan Street,,Douglas,IM1 3DN,Onchan,21.88,110000,20/07/1925,27/03/2015
,Eairystane Plantation,,Slieau Eairystane,,Arbory,,Arbory,40,,12/11/1928,16/06/2003
,Lezayre Parish Church,,Bannaghlyn,Churchtown,Lezayre,IM8 2LN,Lezayre,0,175000,7/5/1929,23/02/2015
,Water Treatment Works,,Greenfield Road,,Douglas,IM2 6EE,Onchan,2015,,9/8/1929,14/11/2002
,Kirk Michael Dam,,Near Ballalonna,,Kirk Michael,,Michael,450,,15/11/1930,13/09/2002
,Ballaspet Service Reservoir,,Patrick Road,,St Johns,IM4 3BR,Patrick,125,,13/02/1933,7/8/2002
,Glencrutchery Service Reservoir,,Homefield Road,,Douglas,IM2 6RB,Onchan,700,,12/7/1933,24/06/2002
,Ballamodha Break Pressure Tank,,Ballamodha Straight,,Ballasalla,,Malew,51,,1/12/1933,3/6/2002
,Fildraw Service Reservoir,,Fildraw Road,,Ballasalla,,Malew,42.75,,19/12/1933,19/02/2002
,Garwick Service Reservoir,,Baldrine Road,,Lonan,,Lonan,54.45,,24/12/1935,8/2/2002
,Whitebridge Hydrostat,,Whitebridge Road,,Onchan,,Onchan,12,,22/04/1936,30/04/2007
,Braaid Young Mens Club Hall,,Foxdale Road,,The Braaid,IM4 2AN,Marown,10.25,200000,5/1/1937,17/02/2009
,Harbour Masters Office,,Lime Street,,Port St Mary,IM9 5EF,Rushen,665,275000,17/03/1937,6/9/2018
,Bawshen Tank,,Ballavitchell,,Marown,IM4 2DN,Marown,150,,19/06/1937,21/03/2002
,Sulby Filters,,Sulby Glen,,Sulby,,Lezayre,700,,31/12/1937,9/5/2002
,Karrin Service Reservoir,,Sulby Glen,,Lezayre,,Lezayre,700,,31/12/1937,21/08/2002
,Iron Mine,,Dreemskerry,,Maughold,IM7 1BE,Maughold,200,200,28/03/1938,20/05/2008
,Karrin View,,Sulby Glen,,Lezayre,IM7 2BD,Lezayre,30,,27/11/1939,9/5/2002
,Plot Of Land,,Adjoining Glen Helen Road,,German,,German,5,,31/01/1941,21/07/2005
,Plot Of Land,,Adjoining Glen Helen Road,,German,,German,0,,31/01/1941,21/07/2005
,Bride Service Reservoir,,Lhen Road,,Bride,IM7 4BG,Bride,105,,6/6/1946,29/05/2002
Plot Of Land To Rear Of,Cranleigh Ville,,Glen Road,,Laxey,,Lonan,317.49,58000,13/12/1946,11/2/2016
,Block Eary Dam,,Off Sulby Glen,,Sulby,,Lezayre,50,,23/12/1946,12/9/2002
,The Mount Service Reservoir,,Sulbrick,,Santon,,Santon,162.5,,30/09/1948,14/11/2002
,Howe Service Reservoir,,Glen Chass Road,Glen Chass,Port St Mary,IM9 5PN,Rushen,200,,31/01/1949,31/07/2002
,Telephone Call Box Site,,Glen Chass Road,Glen Chass,Port St Mary,IM9 5PN,Rushen,200,,31/01/1949,8/8/2002
,Ballure Reservoir,,Ballure,,Maughold,,Maughold,54000,,2/4/1949,16/07/2003
,Part Of Ballawattleworth,,Poortown Road,,Peel,,German,0.25,,11/4/1949,13/05/2004
,Glen Maye Service Reservoir,,Off Glen Road,,Glen Maye,,Patrick,36.25,,15/07/1949,15/05/2002
,Ballacallin Service Reservoir,,Main Road,,Patrick,,Patrick,125,,26/07/1949,20/12/2001
,Bradda Service Reservoir,,Bradda Road,,Port Erin,,Rushen,73.25,,23/08/1949,17/12/2001
,Cregneish Service Reservoir,,Ballnahowe,,Port Erin,,Rushen,17,,20/08/1951,22/01/2002
,Colby Bridge Booster Pump,,Main Road,,Colby,IM9 4NT,Arbory,18.75,,30/08/1951,14/01/2002
,Patrick Booster,,Near Knockaloe,,Patrick,,Patrick,60.5,,12/9/1951,12/2/2002
,Surby Tank,,Surby Road,,Port Erin,IM9 6TD,Rushen,20,,12/6/1952,4/9/2002
,Marown Service Reservoir,,Off Ballavitchell Road,,Marown,IM4 2DL,Marown,100,,21/06/1952,26/03/2002
,Ballakilpheric Tank,,Colby,,Castletown,,Rushen,40.25,,23/07/1952,14/05/2002
,Struan Barrule Service Reservoir,,Barrule Road,,Foxdale,IM4 3ES,Malew,40,,28/11/1952,22/01/2003
,Peel Depot,,East Quay,,Peel,IM5 1AR,German,400,,27/12/1952,20/11/2001
,Parcel Of Land,,Ballakillowey Road,,Rushen,IM9 4BN,Rushen,10,,14/04/1953,30/11/2001
,Corrany Intake,,Corrany Valley,,Maughold,,Maughold,6,,18/10/1953,16/05/2002
,Plot Of Land Called Mullagh Ny Gheay,,Ballaragh Road,,Lonan,,Lonan,25,,22/09/1954,19/12/2001
,,1,The Lhargan,,Port St. Mary,IM9 5AR,Rushen,150,45000,21/02/1955,5/3/2014
,Corrany Service Reservoir And Booster,,Corrany Bridge,Corrany,Ramsey,IM7 1EY,Maughold,175,,22/09/1955,6/6/2002
,Knocksharry Service Reservoir,,Switchback Road,,Knocksharry,IM5 2AG,German,79.3,,19/12/1955,13/05/2002
,Land Adjacent To Ballagawne Service Reservoir,,Ballagawne,,Ballabeg,IM9 4HL,Arbory,330,,18/05/1956,3/1/2002
,Cronk-Ny-Mona Service Reservoir,,Highfield Close,,Onchan,IM3 3BR,Onchan,40,,7/7/1956,10/5/2002
,New Grawe Service Reservoir,,Laxey,,Lonan,,Lonan,100,,22/11/1956,20/12/2001
,Cronkbourne Village,,Ballafletcher Road,Tromode,Braddan,,Braddan,3200,1500000,26/04/1958,8/8/2017
,Land At Rear Of Cronkbourne Village,,Ballafletcher Road,Tromode,Braddan,IM4 4QF,Braddan,250,20000,2/5/1958,4/8/2017
,Ballacain Cottages,,Jurby,,Jurby,,Jurby,0,0,18/03/1963,27/06/2008
,Cronk Bane Service Reservoir,,Cronk-Y-Voddy,,Kirk Michael,IM6 1AZ,German,149.4,,7/10/1963,10/5/2002
,Clanner Pumping Station,,Clanner Road,,Braaid,IM4 2HW,Marown,48.3,,5/12/1963,12/2/2002
,The Maughold Pinfold,,Hibernia,,Maughold,,Maughold,0,,8/5/1964,17/01/2002
,Former Works Depot,,Lezayre Road,,Lezayre,,Lezayre,0,18000,8/5/1964,22/02/2011
,Former Works Depot,,Abutting Upon Ramsey To Bride Road,,Bride,,Bride,0,0,8/5/1964,10/11/2010
,Part Of Former Army Camp,,Adjacent To Bretney Estate,,Jurby,,Jurby,207500,,12/5/1964,2/6/2004
,Laurel Bank Pumping Station,,Glen Helen Road,Laurel Bank,St. Johns,IM4 3NJ,German,5,,11/7/1964,14/05/2002
,Ballamodha Pumping Station,,Ballamodha Straight,,Ballasalla,IM9 3AY,Malew,10,,17/08/1965,18/01/2002
,Fernbank,,Glen Road,,Ballaugh,IM7 5JB,Ballaugh,9000,,30/06/1966,10/12/2003
,,,Hango Hill,Derbyhaven Road,Castletown,,Malew,5,5,15/08/1966,12/6/2018
,Land Abutting The Iron Mine,,Dreemskerry,,Maughold,IM7 1BE,Maughold,0,0,8/9/1967,20/05/2008
,Inglemere,,Albany Road,,Douglas,IM2 3AN,Onchan,9000,350000,4/9/1968,23/03/2011
,,,Land At Four Roads,,Port St Mary,,Rushen,800,3000,11/11/1968,11/12/2013
,Iona,,Ramsey Road,,Laxey,IM4 7PT,Lonan,4500,,22/11/1968,20/06/2007
,Land Adjoining Iona,,Ramsey Road,,Laxey,IM4 7PT,Lonan,0,,22/11/1968,20/07/2007
,,9,Waterloo Road,,Ramsey,IM8 1DR,Maughold,0,,14/01/1969,4/1/2007
,The Citadel,,Lord Street,,Douglas,IM1 1LE,Onchan,0,2850000,13/05/1969,30/01/2018
,Ballagare Pumping Station,,Baldhoon Road,,Laxey,IM4 7QJ,Lonan,2,,25/07/1969,18/03/2002
,Ollys,,High Street,,Port St Mary,IM9 5DW,Rushen,1200,300000,23/09/1970,26/01/2012
,,,Ballacain,,Jurby,,Jurby,0,800000,12/11/1970,29/05/2008
,Dragonscroft,,Honna Road,Ballafesson,Port Erin,IM9 6QW,Rushen,0,900000,20/05/1971,4/2/2009
,,25,Glen Vine Park,Glen Vine,Marown,IM4 4EY,Marown,1300,350000,17/09/1971,10/9/2009
,Ballakilley Service Reservoir,,Off Poortown Road,,St Johns,,German,250,,2/12/1971,24/01/2002
,,14,New Road,,Laxey,IM4 7BF,Lonan,0,100000,25/04/1972,10/7/2008
,Caunrhenny Tank,,Begoade Road,,Onchan,IM4 6AS,Onchan,0,1000,16/05/1972,7/1/2009
,,27,Murrays Road,,Douglas,IM2 3HL,Onchan,0,145000,23/10/1972,2/12/2009
,Land At Corrody,,Tholt Y Will,Sulby,Lezayre,IM7 2BF,Lezayre,1020,33000,12/11/1972,4/2/2009
,,,Land At Poylldooey,Gardeners Lane,Ramsey,,Lezayre,84000,2475665,22/01/1973,24/07/2012
,,20,Head Road,,Douglas,IM1 5BA,Braddan,3250,200000,19/11/1973,12/4/2016
Youth And Community Centre And,Shoprite Car Park,,Bay View Road,,Port Erin,,Rushen,2667,240000,4/1/1974,27/09/2011
,,54,Glenfaba Road,,Peel,IM5 1DA,German,0.25,255000,26/06/1974,2/9/2011
,East Baldwin Intake,,Creg-E-Cowin,,Braddan,,Braddan,250,,1/10/1974,2/7/2003
,Ballaquaggan Cottage,,Douglas Road,,Ballasalla,IM9 3AD,Malew,13000,,6/12/1974,17/01/2005
,Field 430669 Adjoining Close Clarke,,Ballamodha,,Malew,IM9 3AY,Malew,0,10000,31/12/1974,9/10/2008
,Clypse And Kerrowdhoo Reservoirs,,,,Onchan,,Onchan,0,,24/02/1975,23/05/2007
,Field North Of Ballawhannel Farm,,Lhen Road,,Bride,,Bride,475,,21/04/1975,11/4/2001
,Cleckheaton,,Ballaragh,,Lonan,IM4 7PW,Lonan,0.25,,15/05/1975,30/05/2007
,,24,Glen Vine Park,Glen Vine,Marown,IM4 4EZ,Marown,13500,350000,23/05/1975,10/9/2009
,,21,Birchleigh Close,,Onchan,IM3 4EX,Onchan,0,200000,11/6/1975,8/1/2008
,Ballacowin Tank,,Ballacowin,,Lonan,IM4 7QE,Lonan,15,,14/08/1975,28/05/2002
,A Parcel Of Land,,Clarum Farm,Ballaragh,Lonan,,Lonan,55000,1000,28/07/1976,13/11/2008
,Millcroft,,Mill Road,Surby,Port Erin,IM9 6QP,Rushen,4050,750000,17/08/1976,30/07/2012
,,72,Ballacriy Park,,Colby,IM9 4LY,Arbory,12750,12750,15/12/1976,26/04/2017
,Braaid Service Reservoir,,Cooil Road,,Braaid,,Marown,175,,24/06/1977,15/03/2002
,Car Parking Space 20,,Kings Court,St Pauls Square,Ramsey,,Maughold,11000,,13/09/1977,24/10/2005
,Land At Rockview,,Walpole Road,,Peel,,German,0,,21/04/1978,15/05/2007
,Ballacowle House,,Agneash,,Laxey,IM4 7NP,Lonan,0,1500000,30/04/1978,11/12/2009
,Greenacre,,Eary Lhane,Greeba,German,IM4 3LB,German,25000,700000,2/6/1978,14/11/2013
,Sycamore Cottage,,Off Jack'S Lane,Lewaigue,Maughold,IM7 1AW,Maughold,34500,500000,12/9/1978,27/05/2009
,,56,Glenfaba Road,,Peel,IM5 1DA,German,6000,190000,18/09/1978,20/06/2016
,Garage/Workshop,20,Head Road,,Douglas,IM1 5BA,Braddan,200,2000,31/01/1979,13/04/2016
,Aeolus,,Traie Meanagh Drive,,Port Erin,IM9 6LL,Rushen,43500,499950,13/06/1979,31/07/2008
,Sulby Reservoir,,Sulby Glen,,Sulby,,Lezayre,25000,,18/06/1979,17/01/2003
,The Old School House,,Vanes Lane,Eairy,Foxdale,IM4 3HY,Marown,37028.23,300000,30/08/1979,25/01/2017
,Dorin Court,,Bradda West Lane,,Port Erin,IM9 6PW,Rushen,90000,,31/10/1979,31/03/2006
,Kerrowdhoo Beg,,Cranstal,,Bride,IM7 4BR,Bride,181000,181000,14/12/1979,26/09/2007
,Government Buildings,,Lord Street,,Douglas,IM1 1LE,Onchan,150000,,14/07/1980,15/11/2002
,South Quay Industrial Estate,,South Quay,,Douglas,,Braddan,443050,6155000,14/07/1980,27/07/2011
,Ard Beg,,Scholaby Road,,Colby,IM9 4AH,Rushen,250000,,29/09/1980,16/04/2003
,Barrule View,,Main Road,,Foxdale,IM4 3EN,Malew,20000,,14/10/1980,28/10/2004
,,7,Barrack Lane,,Ramsey,IM8 1BE,Maughold,11500,125000,1/5/1981,13/07/2017
,Government Buildings,,Lord Street,,Douglas,IM1 1LE,Onchan,0.25,,12/5/1981,19/12/2002
,Sunnybank,,Macree Road,East Foxdale,Malew,IM4 3HH,Malew,4800,1000000,7/1/1982,18/08/2010
